name,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
'001_P-05_m_S-1_PS-M',2.715214e+001,4.423159e-001,2.130873e+001,2.205210e+001,2.383576e+001,2.527033e+000,8.303019e+000,0,9.414549e+001,0,6.256119e-001,1.067725e+000,5.798478e-002,2.282531e-001,1.540367e+000,1.482382e+000,4.577610e+000,2.303397e+000,3.423543e+000,1.347233e+000,3.236923e-001,1.356504e+000,1.985398e+001,9.958078e-001,7.250466e+000,8.198708e-001,1.232176e+001,9.092048e-001,-3.094720e+000,-5.385143e+000,3.770198e-002,8.859184e-001,1.893499e+000,7.161348e-001,2.935171e+000,1.006282e+000,7.922543e+000,2.003586e+000,1.775318e+001,7.870048e-001,5.936917e+002,3.594684e-001,1.213990e+003,2.426642e-001,-1.067941e+002,-8.671746e-001,1.603831e+003,1.589736e-001,9.662047e+002,3.109857e-001,-1.052040e+002,-8.215767e-001,2.614837e+003,1.302432e-001,1.059217e+003,5.347066e-001,-1.076651e+002,-7.803045e-001,-1.078637e+001,-1.157743e+000,1.949161e+001,8.413965e-001,1.721301e-002,1.668229e+000,-2.722000e-002,-3.360658e-001,6.075528e-001,7.580574e-001,2.810641e+001,8.423967e-001,4.651170e+000,1.304942e+000,1.234347e+001,1.162822e+000,-6.794682e+000,-2.565551e+000,-8.564347e+000,1.655294e+001,1.579872e-002,-5.529896e-003,3.710489e-002,2.020202e+000,2.127660e+000,2.400000e-001,1.700000e-001,2.000000e-001,1.000000e-002,-2.571618e+001
'002_P-06_f_S-1_PS-F',3.525050e+001,4.172485e-002,3.392692e+001,3.476143e+001,3.670123e+001,2.774311e+000,-1.789366e+000,0,2.103500e+001,0,6.843835e-001,1.530199e+000,1.697698e-002,9.371018e-002,1.452117e+000,1.435140e+000,8.116752e+000,5.741116e+000,6.953263e+000,0,4.961637e-001,1.846719e+000,1.875818e+001,9.811550e-001,3.653884e+000,3.808543e+000,7.372598e+000,3.052836e+000,9.562345e+000,1.414291e+000,1.381023e-002,9.944129e-001,1.195920e+000,8.674535e-001,8.891725e+000,2.872384e-001,-2.715463e+000,-2.681010e+000,1.216366e+001,7.321497e-001,6.221324e+002,2.053446e-001,1.301715e+003,2.233291e-001,-1.182328e+002,-7.936608e-001,1.615266e+003,1.457577e-001,1.016299e+003,2.590350e-001,-1.196318e+002,-7.604421e-001,2.462854e+003,8.832975e-002,7.947859e+002,3.336737e-001,-1.208372e+002,-7.424169e-001,-9.030534e+000,-6.933201e-001,1.832534e+001,4.466407e-001,8.342250e-002,4.846335e-001,-1.896056e-002,-7.432115e-001,1.246451e+000,8.844635e-001,3.316442e+001,5.778736e-001,-9.393038e+000,-1.308108e+000,-1.113547e+001,-2.210070e+000,5.073064e+000,3.177842e+000,-7.968710e+000,1.359442e+001,2.230165e-003,-6.253461e-003,1.502097e-002,1.351351e+000,1.492537e+000,2.800000e-001,0,1.800000e-001,5.000000e-002,-2.344342e+001
'003_P-18_f_S-5_PS-S',3.420176e+001,1.218891e-001,3.272004e+001,3.447330e+001,3.742444e+001,4.704403e+000,4.189141e+001,3.018595e+001,3.186946e+001,1.687889e+001,9.351851e-001,7.367471e-001,3.806895e-001,8.279991e-001,1.345037e+000,9.643474e-001,1.467413e+001,7.503516e+000,1.195588e+001,7.153154e+000,5.996498e-001,8.768324e-001,2.428782e+001,6.130331e-001,4.308994e+000,3.776949e+000,7.443414e+000,2.232512e+000,-3.210320e+000,-4.343748e+000,3.263522e-002,1.370521e+000,1.374980e+000,7.923766e-001,7.076616e+000,6.870108e-001,1.034409e+001,1.140854e+000,2.355956e+001,4.408560e-001,5.281000e+002,3.399157e-001,1.242590e+003,1.695864e-001,-4.548058e+001,-1.698194e+000,1.604654e+003,1.547691e-001,9.128253e+002,4.142331e-001,-5.205632e+001,-1.268873e+000,2.563459e+003,1.159113e-001,9.646144e+002,4.919506e-001,-5.504236e+001,-1.168036e+000,-1.384187e+001,-6.453256e-001,2.261102e+001,4.286291e-001,9.732313e-002,2.704805e-001,-2.713211e-002,-5.128894e-001,7.071838e-001,7.292075e-001,2.855977e+001,4.166573e-001,1.483305e+000,1.136667e+001,7.272758e+000,2.437008e+000,-5.129871e+000,-2.689324e+000,-8.486396e+000,1.510648e+001,4.278459e-002,-1.230444e-002,1.837834e-001,3.536978e+000,2.302632e+000,3.457143e-001,1.658620e-001,7.500000e-002,4.500000e-002,-2.512675e+001
'004_P-18_f_S-6_PS-F',3.128297e+001,1.486853e-001,2.940421e+001,3.245565e+001,3.446535e+001,5.061136e+000,1.156106e+002,7.612741e+001,-2.445750e+000,3.853022e+001,6.343442e-001,8.920437e-001,1.052459e-001,5.258643e-001,9.365140e-001,8.312681e-001,1.112957e+001,5.301742e+000,9.059870e+000,5.579163e+000,3.963778e-001,1.005984e+000,2.584856e+001,5.231004e-001,7.904172e+000,1.846092e+000,5.006036e+000,2.732649e+000,1.343090e+000,9.452973e+000,5.452698e-002,1.286366e+000,1.503148e+000,7.651426e-001,4.538683e+000,1.113898e+000,5.633193e+000,1.271216e+000,2.398661e+001,3.998081e-001,5.465250e+002,3.219168e-001,1.258647e+003,1.877954e-001,-6.997038e+001,-1.290525e+000,1.599176e+003,1.710363e-001,9.955333e+002,3.876628e-001,-7.712782e+001,-1.060798e+000,2.545025e+003,1.267975e-001,1.005547e+003,5.320920e-001,-8.036723e+001,-9.925323e-001,-1.325457e+001,-6.751688e-001,2.210204e+001,4.207877e-001,8.982897e-002,3.286773e-001,-2.859664e-002,-6.167311e-001,5.386062e-001,7.282207e-001,2.945012e+001,4.485113e-001,4.631224e+000,3.438457e+000,2.844973e+000,5.339868e+000,-1.692007e+000,-8.048580e+000,-1.383322e+001,2.266924e+001,3.046827e-002,-1.350588e-002,1.292880e-001,3.649635e+000,2.729529e+000,2.372727e-001,1.308775e-001,1.170000e-001,8.379140e-002,-2.906474e+001
'005_P-18_f_S-2_PS-F',3.426347e+001,6.002434e-002,3.203415e+001,3.442274e+001,3.617295e+001,4.138798e+000,7.724770e+001,1.049367e+002,1.840395e+001,8.586179e+000,7.631488e-001,1.032224e+000,2.353814e-002,5.005323e-001,1.461403e+000,1.437865e+000,1.602063e+001,8.727759e+000,1.495718e+001,7.464600e+000,5.103060e-001,1.206108e+000,2.221464e+001,5.333202e-001,5.795503e+000,2.666890e+000,7.389360e+000,2.100991e+000,-1.574291e+000,-8.550621e+000,3.476790e-002,8.275844e-001,1.803980e+000,7.743614e-001,5.887578e+000,7.772064e-001,6.792732e+000,1.178974e+000,2.240318e+001,4.163233e-001,5.676759e+002,3.296846e-001,1.302730e+003,2.165202e-001,-8.649535e+001,-1.084716e+000,1.656485e+003,1.558080e-001,1.001469e+003,6.586261e-001,-8.600542e+001,-9.905562e-001,2.571093e+003,1.299991e-001,9.690361e+002,5.077848e-001,-8.739381e+001,-9.598904e-001,-1.264714e+001,-6.378648e-001,2.150646e+001,3.836887e-001,9.917495e-002,2.698936e-001,-2.757687e-002,-5.812899e-001,7.944523e-001,7.902368e-001,2.733673e+001,3.883424e-001,7.960084e-002,2.077869e+002,5.598382e+000,3.390171e+000,-7.386220e+000,-1.764040e+000,-1.255576e+001,2.213243e+001,9.520893e-003,-6.195594e-003,5.948655e-002,3.389831e+000,1.739130e+000,3.550000e-001,3.508205e-001,1.950000e-001,1.523975e-001,-2.593908e+001
'006_P-19_f_S-1_PS-F',2.941856e+001,2.573780e-001,2.995769e+001,3.181926e+001,3.377637e+001,3.818680e+000,1.130412e+001,0,7.876930e+001,0,5.585262e-001,1.752621e+000,3.257167e-002,4.861165e-002,9.173992e-001,8.848276e-001,3.460604e+000,2.455142e+000,7.359428e+000,0,3.468645e-001,2.160429e+000,1.744369e+001,6.273676e-001,1.017155e+001,1.373817e+000,1.289884e+001,1.006286e+000,2.845810e+000,4.953351e+000,6.657546e-002,1.140919e+000,1.265048e+000,6.102820e-001,3.117842e+000,1.371493e+000,-5.610004e-001,-1.064040e+001,1.216147e+001,3.597866e-001,4.708925e+002,2.854483e-001,1.088848e+003,1.977335e-001,-1.381532e+002,-6.602693e-001,1.573671e+003,1.413466e-001,7.432346e+002,3.526791e-001,-1.400546e+002,-6.140518e-001,2.426188e+003,1.163457e-001,1.002570e+003,5.907588e-001,-1.393402e+002,-6.236568e-001,-6.848838e+000,-7.740959e-001,1.298933e+001,4.735452e-001,7.365263e-002,2.866837e-001,-2.407136e-002,-4.553980e-001,1.066490e+000,9.485936e-001,2.152049e+001,6.110734e-001,-5.605962e+000,-2.266793e+000,1.265125e+001,1.619463e+000,-1.586366e+001,-4.977828e-001,-1.603560e+001,2.518503e+001,-2.024370e-002,-7.144036e-003,1.661620e-002,9.009009e-001,9.615385e-001,3.400000e-001,0,3.350000e-001,1.150000e-001,-2.743186e+001
'007_P-19_f_S-2_PS-F',3.374347e+001,5.185810e-002,3.173457e+001,3.411331e+001,3.548090e+001,3.746330e+000,1.993974e+001,1.026346e+001,1.271330e+001,5.274686e+000,1.024025e+000,1.012562e+000,5.068633e-002,7.171800e-001,1.732355e+000,1.681669e+000,1.495560e+001,6.061382e+000,1.570000e+001,3.613477e+000,5.805171e-001,1.144349e+000,2.080787e+001,4.658886e-001,5.247292e+000,2.968882e+000,1.564306e+001,7.492086e-001,-2.546142e+000,-5.266187e+000,2.309006e-002,1.036723e+000,1.205317e+000,7.000000e-001,6.949553e+000,6.566656e-001,6.837070e+000,9.867387e-001,1.791863e+001,4.742371e-001,4.893022e+002,4.018487e-001,1.123020e+003,2.079434e-001,-8.527611e+001,-1.089571e+000,1.613662e+003,1.490301e-001,7.667257e+002,3.903663e-001,-8.587173e+001,-9.787616e-001,2.520762e+003,1.191092e-001,9.649216e+002,3.739100e-001,-8.574623e+001,-9.816270e-001,-1.137691e+001,-6.269153e-001,1.852102e+001,3.851674e-001,8.360514e-002,2.995727e-001,-2.746890e-002,-4.142093e-001,8.623313e-001,7.786134e-001,2.219676e+001,4.865862e-001,2.473577e+000,6.920764e+000,1.761103e+001,7.926768e-001,-8.670526e+000,-1.356427e+000,-1.362027e+001,2.286299e+001,3.595684e-003,-9.882487e-003,1.568158e-001,3.125000e+000,1.851852e+000,3.350000e-001,1.998124e-001,1.800000e-001,1.598437e-001,-2.392484e+001
'008_P-19_f_S-3_PS-F',2.891591e+001,2.114869e-001,2.183361e+001,3.281379e+001,3.367073e+001,1.183712e+001,3.625612e+002,4.099044e+002,3.180178e+001,2.498202e+001,7.623217e-001,9.223186e-001,3.713617e-002,6.308820e-001,1.235371e+000,1.198235e+000,8.532530e+000,4.684546e+000,1.065609e+001,7.427112e+000,3.778042e-001,9.964034e-001,2.103180e+001,5.220914e-001,8.436654e+000,1.536357e+000,1.734598e+001,7.528464e-001,-8.443104e-001,-1.709747e+001,7.400110e-002,1.608623e+000,1.910226e+000,7.540063e-001,3.939896e+000,1.610247e+000,4.406809e+000,1.740376e+000,1.713793e+001,3.643155e-001,4.462630e+002,3.430710e-001,1.198932e+003,2.547293e-001,-7.346965e+001,-1.240887e+000,1.558163e+003,1.151548e-001,8.621152e+002,8.070620e-001,-8.176012e+001,-1.015979e+000,2.477627e+003,1.002361e-001,1.061842e+003,5.097135e-001,-8.126043e+001,-1.026083e+000,-1.167791e+001,-4.604772e-001,1.851999e+001,3.320038e-001,6.211139e-002,5.416415e-001,-2.936291e-002,-3.653147e-001,5.507464e-001,6.469792e-001,2.355565e+001,4.621963e-001,3.503018e+000,3.558506e+000,1.848567e+001,8.157791e-001,-8.792646e+000,-1.260139e+000,-1.709316e+001,2.633695e+001,-1.770252e-002,-9.411118e-003,6.574696e-002,3.215434e+000,1.644737e+000,3.920000e-001,7.054076e-002,1.616667e-001,1.780839e-001,-2.729169e+001
'009_P-19_f_S-4_PS-F',3.066692e+001,1.558533e-001,2.800572e+001,3.209082e+001,3.395853e+001,5.952803e+000,2.615349e+002,1.563092e+002,-3.164025e+001,6.360786e+001,6.458697e-001,9.624457e-001,4.697603e-002,5.034999e-001,1.127544e+000,1.080568e+000,1.023149e+001,7.401896e+000,8.684864e+000,4.329143e+000,3.543717e-001,1.156739e+000,2.174437e+001,4.885749e-001,1.175322e+001,9.585198e-001,1.586992e+001,7.758099e-001,1.511673e-001,1.027365e+002,4.942138e-002,1.908489e+000,1.409081e+000,8.950190e-001,5.645752e+000,8.432490e-001,8.176952e+000,1.195460e+000,2.261175e+001,3.142560e-001,4.731761e+002,3.708647e-001,1.214965e+003,2.033827e-001,-8.530922e+001,-1.108273e+000,1.550898e+003,1.384541e-001,8.761036e+002,5.217646e-001,-9.123081e+001,-9.295823e-001,2.569299e+003,1.034172e-001,9.924684e+002,6.380331e-001,-9.275809e+001,-9.009544e-001,-1.387001e+001,-4.339586e-001,2.176296e+001,3.082130e-001,6.968234e-002,4.119984e-001,-2.648377e-002,-4.641516e-001,5.286360e-001,8.118116e-001,2.483876e+001,4.158795e-001,8.786616e+000,1.346419e+000,1.626135e+001,9.137690e-001,-6.715287e+000,-2.211242e+000,-1.591541e+001,2.490684e+001,-9.959346e-003,-1.002383e-002,9.285612e-002,3.005008e+000,1.689189e+000,3.520000e-001,2.461219e-001,2.700000e-001,2.938537e-001,-2.755578e+001
'010_P-19_f_S-5_PS-S',2.986230e+001,1.903152e-001,2.261028e+001,3.262289e+001,3.389731e+001,1.128703e+001,3.037967e+002,1.500267e+002,5.151073e+001,3.276595e+001,6.176586e-001,8.430554e-001,5.493261e-002,5.380829e-001,1.017572e+000,9.626397e-001,1.149095e+001,5.651181e+000,8.453007e+000,5.770991e+000,3.191834e-001,1.136231e+000,1.999615e+001,6.434569e-001,1.334625e+001,8.212930e-001,1.745483e+001,6.717232e-001,-2.876617e-001,-4.572255e+001,6.548925e-002,1.846013e+000,1.449738e+000,7.931187e-001,4.573946e+000,1.140354e+000,8.318671e+000,1.537243e+000,2.134829e+001,6.311734e-001,4.172184e+002,2.733291e-001,1.177869e+003,1.470916e-001,-7.086707e+001,-1.284971e+000,1.532846e+003,1.375031e-001,7.650080e+002,4.355427e-001,-8.060140e+001,-9.991330e-001,2.476165e+003,9.498470e-002,1.032334e+003,6.701000e-001,-8.020054e+001,-1.004520e+000,-1.370868e+001,-4.928902e-001,2.070351e+001,3.822145e-001,6.490544e-002,4.670688e-001,-2.673526e-002,-3.648058e-001,4.421219e-001,8.673651e-001,2.285645e+001,4.786944e-001,9.665793e+000,1.165823e+000,1.801019e+001,7.267383e-001,-5.566398e+000,-2.075330e+000,-1.592675e+001,2.408064e+001,-8.299234e-003,-1.286827e-002,9.230966e-002,3.273810e+000,2.134146e+000,3.057143e-001,1.704496e-001,1.237500e-001,1.102199e-001,-2.868857e+001
